Harga,Kamar Tidur,Kamar Mandi,Garasi,Luas Tanah,Luas Bangunan,Lokasi
14900000000,1,1,0,880,200,Margonda
3000000000,3,2,2,300,160,Cinere
7100000000,3,3,2,500,600,Cinere
1000000000,2,2,2,172,100,Cilodong
3000000000,5,3,1,150,195,Cimanggis
2100000000,3,2,1,120,83,Cinere
1500000000,3,2,1,80,106,Cinere
6200000000,4,4,2,190,293,Pangkalan Jati
4850000000,4,4,1,328,280,Cinere
40000000000,4,4,8,3940,400,Cinere
725000000,2,1,1,77,77,Sukmajaya
1500000000,5,3,1,90,104,Cinere
56000000,2,2,1,72,50,Cilodong
1600000000,4,2,1,65,120,Kukusan
1750000000,3,2,2,120,86,Cibubur
250000000,1,1,0,50,50,Sukmajaya
1400000000,3,3,2,102,125,Krukut
2750000000,3,2,1,160,250,Cibubur
650000000,3,2,1,60,60,Cilodong
16800000000,4,4,2,1050,600,Cibubur
950000000,2,1,1,133,50,Sawangan
1250000000,3,3,1,72,76,Sawangan
1100000000,3,3,2,68,84,Pancoran Mas
3300000000,5,4,1,240,260,Cinere
11500000000,9,6,2,875,578,Cinere
3000000000,4,4,2,144,206,Sawangan
436000000,2,1,1,72,36,Sawangan
1850000000,3,2,1,120,98,Sukmajaya
4500000000,4,3,1,300,380,Depok I
